iter	Logloss
0	0.6637412592
1	0.633706886
2	0.6064029104
3	0.5789093197
4	0.5577084416
5	0.5344050756
6	0.5119845097
7	0.4939370351
8	0.4766482
9	0.4607528418
10	0.4451913554
11	0.4303826558
12	0.4166707974
13	0.4038470543
14	0.3918472559
15	0.3807577592
16	0.3666709109
17	0.3544518756
18	0.3419610488
19	0.3332269598
20	0.3253913775
21	0.3180097367
22	0.3075913282
23	0.2984342332
24	0.2894164681
25	0.2820672858
26	0.2764875259
27	0.2700400455
28	0.2632993933
29	0.2567177491
30	0.2521667182
31	0.2469582903
32	0.2411809276
33	0.2370267894
34	0.233317545
35	0.2294007841
36	0.2252859873
37	0.2210376986
38	0.2181925316
39	0.2155449376
40	0.2119459835
41	0.2097793549
42	0.2070240237
43	0.2038402669
44	0.2016678304
45	0.1997220213
46	0.1972908274
47	0.1950486513
48	0.1926880779
49	0.1907679489
50	0.189049648
51	0.1874199287
52	0.1854512612
53	0.1836178475
54	0.1820559567
55	0.180900305
56	0.1789735469
57	0.1777531424
58	0.1762981527
59	0.1745824646
60	0.1727318064
61	0.1712197231
62	0.1699900021
63	0.1691126366
64	0.1681126484
65	0.1667924795
66	0.1655942764
67	0.1648791737
68	0.1638372164
69	0.1629298708
70	0.1618690117
71	0.1609828225
72	0.1599718008
73	0.1588407244
74	0.1581566021
75	0.1572956302
76	0.1567178267
77	0.1561041905
78	0.1554124985
79	0.1548049389
80	0.1543638524
81	0.1537650271
82	0.1530391745
83	0.1525269003
84	0.1518958403
85	0.1514330452
86	0.1509208007
87	0.1504243675
88	0.150004706
89	0.1495664862
90	0.1491021084
91	0.1487077388
92	0.1483353766
93	0.1479790943
94	0.1474719859
95	0.147226188
96	0.146761213
97	0.1464374789
98	0.1460053505
99	0.1458333532
100	0.1454055099
101	0.1450685027
102	0.1449309646
103	0.1445006428
104	0.1441011522
105	0.1437167114
106	0.1434177764
107	0.1431387885
108	0.1427473751
109	0.1426978214
110	0.1424575477
111	0.1421338434
112	0.1418881052
113	0.1415894689
114	0.1412301707
115	0.1409396715
116	0.1406388703
117	0.1403400996
118	0.1398984607
119	0.1396522298
120	0.1393885603
121	0.1390425501
122	0.1387681009
123	0.1385079849
124	0.1383383615
125	0.1379864836
126	0.137752854
127	0.1375437996
128	0.1373044068
129	0.1371116713
130	0.1369283419
131	0.1368118853
132	0.1365555467
133	0.1363016565
134	0.1361685079
135	0.1359360428
136	0.1357670166
137	0.1355989161
138	0.1353436226
139	0.1351007809
140	0.1349182726
141	0.1346931234
142	0.134500134
143	0.1342993958
144	0.1340511792
145	0.1338059338
146	0.1335753499
147	0.1333507232
148	0.1331674833
149	0.1330231221
150	0.1328923772
151	0.1327737707
152	0.1325954728
153	0.1323570356
154	0.1321141342
155	0.1319308346
156	0.1316867239
157	0.1314629631
158	0.1312208381
159	0.1310136799
160	0.1308921023
161	0.1307114155
162	0.1305168137
163	0.1304003124
164	0.1302816313
165	0.1301191296
166	0.1299115982
167	0.1298035624
168	0.1295571225
169	0.1293862001
170	0.1292439739
171	0.1290002513
172	0.1288665951
173	0.1286991814
174	0.1285892494
175	0.1284760776
176	0.1283378228
177	0.1281834433
178	0.1279509632
179	0.127733951
180	0.127662375
181	0.1274939908
182	0.1273292198
183	0.127189263
184	0.127012488
185	0.1268202153
186	0.1266862156
187	0.1264551092
188	0.1262994755
189	0.1260772526
190	0.1259946133
191	0.1258381584
192	0.1256888403
193	0.1255341771
194	0.1254352189
195	0.1252185501
196	0.1250698888
197	0.1249872346
198	0.1248895977
199	0.1247645861
200	0.1246464724
201	0.1244884797
202	0.1243799587
203	0.1242165612
204	0.1241157741
205	0.1240262593
206	0.1238634068
207	0.1237487942
208	0.1236765464
209	0.123572609
210	0.1234585562
211	0.1233225783
212	0.1231671313
213	0.1230861119
214	0.1229638027
215	0.1228895318
216	0.1227247384
217	0.1226488849
218	0.1224740135
219	0.1223269125
220	0.1221319001
221	0.1219634562
222	0.121816721
223	0.1217010259
224	0.1215403533
225	0.1214422386
226	0.1213490286
227	0.1212539971
228	0.1210229803
229	0.120841129
230	0.1206955434
231	0.120601012
232	0.1205037037
233	0.1203983404
234	0.1203011067
235	0.1201742811
236	0.1201149032
237	0.1198968682
238	0.1197539104
239	0.119646203
240	0.1195179441
241	0.119356077
242	0.1191901638
243	0.1190308722
244	0.1189070252
245	0.1187465839
246	0.1186325312
247	0.11852887
248	0.1183814778
249	0.1182145419
250	0.1180967491
251	0.1179854212
252	0.1178617757
253	0.1177680432
254	0.1176973406
255	0.1176592907
256	0.1175449468
257	0.1174635094
258	0.117393837
259	0.1173041058
260	0.1171956818
261	0.1171087052
262	0.1170465055
263	0.1168932831
264	0.116802335
265	0.1167051312
266	0.1166015222
267	0.1165068341
268	0.1163515139
269	0.1162724654
270	0.1161519553
271	0.1159995316
272	0.1158703022
