iter	Passed	Remaining
0	7	7029
1	12	6148
2	17	5734
3	22	5571
4	26	5283
5	32	5379
6	37	5381
7	43	5358
8	48	5315
9	53	5313
10	58	5289
11	64	5292
12	69	5267
13	74	5261
14	78	5162
15	84	5220
16	90	5241
17	96	5250
18	102	5277
19	107	5284
20	111	5214
21	116	5193
22	122	5217
23	128	5227
24	134	5235
25	137	5160
26	142	5133
27	148	5142
28	153	5140
29	158	5136
30	164	5136
31	169	5137
32	175	5135
33	180	5140
34	185	5102
35	190	5106
36	196	5114
37	201	5112
38	207	5112
39	213	5117
40	218	5116
41	221	5062
42	228	5074
43	233	5073
44	239	5073
45	244	5074
46	250	5073
47	255	5067
48	260	5062
49	266	5060
50	271	5059
51	277	5061
52	283	5057
53	289	5063
54	294	5059
55	298	5039
56	305	5047
57	312	5083
58	318	5084
59	324	5084
60	330	5086
61	336	5088
62	341	5082
63	347	5078
64	352	5071
65	358	5069
66	363	5067
67	369	5062
68	375	5062
69	380	5060
70	386	5058
71	392	5055
72	397	5049
73	402	5042
74	408	5036
75	413	5033
76	420	5038
77	426	5040
78	431	5035
79	437	5028
80	442	5024
81	448	5018
82	453	5014
83	459	5008
84	464	5001
85	470	4995
86	475	4989
87	480	4982
88	486	4976
89	491	4968
90	497	4966
91	502	4958
92	508	4963
93	515	4965
94	521	4964
95	526	4958
96	532	4953
97	539	4966
98	544	4958
99	548	4935
100	553	4930
101	559	4928
102	566	4934
103	572	4928
104	577	4924
105	583	4918
106	589	4916
107	594	4910
108	599	4904
109	603	4879
110	608	4875
111	614	4870
112	619	4864
113	625	4858
114	630	4851
115	635	4845
116	641	4839
117	646	4835
118	652	4830
119	658	4825
120	663	4823
121	669	4818
122	675	4813
123	680	4809
124	686	4803
125	691	4798
126	697	4794
127	702	4787
128	708	4782
129	714	4778
130	719	4773
131	724	4766
132	730	4761
133	735	4755
134	741	4749
135	746	4742
136	752	4737
137	757	4733
138	763	4727
139	768	4722
140	774	4718
141	779	4712
142	785	4706
143	790	4699
144	795	4692
145	801	4686
146	806	4680
147	812	4674
148	817	4670
149	823	4665
150	828	4660
151	834	4654
152	839	4647
153	845	4642
154	850	4636
155	856	4632
156	862	4628
157	867	4625
158	873	4619
159	879	4616
160	885	4614
161	891	4610
162	897	4607
163	902	4601
164	908	4596
165	913	4591
166	919	4587
167	925	4582
168	931	4578
169	936	4573
170	942	4567
171	947	4562
172	953	4556
173	958	4550
174	964	4545
175	970	4541
176	976	4539
177	982	4535
178	987	4529
179	994	4530
180	1000	4528
181	1006	4522
182	1012	4518
183	1017	4513
184	1023	4508
185	1029	4505
186	1034	4499
187	1041	4496
188	1047	4494
189	1052	4488
190	1058	4484
191	1064	4479
192	1069	4472
193	1075	4466
194	1080	4458
195	1085	4452
196	1090	4445
197	1096	4440
198	1101	4433
199	1107	4428
200	1112	4421
201	1117	4414
202	1123	4409
203	1128	4402
204	1133	4396
205	1138	4389
206	1144	4383
207	1149	4377
208	1154	4369
209	1159	4363
210	1165	4357
211	1171	4353
212	1176	4348
213	1182	4341
214	1187	4336
215	1193	4332
216	1199	4326
217	1204	4322
